Engine Size,Age of Vehicle,Mileage,Speed,Acceleration,Temperature,Humidity,Wind Speed,Air Pressure,CO2 Emissions,NOx Emissions,PM2.5 Emissions,VOC Emissions,SO2 Emissions,Emission Level,Vehicle Type_bus,Vehicle Type_car,Vehicle Type_motorcycle,Vehicle Type_truck,Fuel Type_diesel,Fuel Type_electric,Fuel Type_hybrid,Fuel Type_petrol,Road Type_city,Road Type_highway,Road Type_rural,Traffic Conditions_free flow,Traffic Conditions_heavy,Traffic Conditions_moderate
2.747608618006285,22,291288,49.0832545097578,1.887738440432738,13.880458408962614,52.8839051497057,18.938861084325666,955.41164196635,179.93008804993812,1.085519804234255,0.0115479615054409,0.0962067938804522,0.0229357568955865,1,False,False,True,False,False,True,False,False,False,True,False,False,False,True
5.743714393331564,3,188398,23.46031082358643,3.544147218551127,19.1369465707393,5.697342689982731,14.716525907862016,1035.763061721762,250.50521934372324,1.2856284064433412,0.1871120961563853,0.0733213084010773,0.0280213799626384,1,True,False,False,False,False,True,False,False,True,False,False,False,True,False
4.606368497419306,17,281451,115.50835048531587,4.646885549371895,8.123428467702528,3.953116010747937,18.644522273598795,976.2070644332192,404.9791033436986,0.258188566706888,0.1323981490814994,0.0147435433448066,0.075333621659918,2,True,False,False,False,False,False,True,False,False,True,False,True,False,False
3.91302411782459,4,151321,18.54021737943641,3.581003892767884,35.994893461939824,0.5096780814540902,11.951859204515054,966.919462347626,463.5686079595012,1.0409557654713608,0.1663252264243553,0.0934903268346641,0.0253239344607054,2,False,False,False,True,False,True,False,False,False,False,True,False,True,False
1.61129693030067,15,91810,109.59656579505317,3.879302876896984,14.7934806541309,52.45088434188985,2.761138225824185,953.2293507469886,79.51460364109796,1.583390451434787,0.0780430787613852,0.0203955027670182,0.0249863650623168,0,False,False,False,True,False,False,True,False,False,True,False,False,False,True
1.611171505748254,13,72131,51.41677177878984,3.7538962107939935,11.186252005922778,46.3815603969166,13.508542128904466,1033.4073099043271,287.833438105556,1.7339751240091186,0.0563608703063275,0.0931653299121262,0.0690624268192732,1,False,True,False,False,False,False,False,True,True,False,False,False,False,True
1.102034783274637,26,169449,45.343918987406646,1.604893029918624,-7.591601582425847,94.0460193556391,4.029823213137034,956.0115290875724,337.86958100821704,1.4702223582798286,0.0428991381655383,0.0506602859460936,0.0581934129204394,2,False,True,False,False,False,False,False,True,True,False,False,True,False,False
5.304115958029663,26,296695,27.75837610858186,3.7846521659112393,19.95075410664419,34.2306315858101,6.919371833354717,1045.443041581739,57.864242522794505,0.8952892158927426,0.1109288363507685,0.0537109186132627,0.0781121854235298,0,False,True,False,False,False,False,True,False,False,True,False,False,False,True
3.925798061064686,18,90214,76.29076012410229,3.922603801099008,20.143446803335927,65.82273955313505,10.192358676258042,1006.4842016085272,131.56170882590965,0.5892048771231729,0.0606484531694953,0.0586052279951207,0.03869696328092,0,False,True,False,False,False,True,False,False,True,False,False,False,False,True
4.481977404539436,13,38599,82.26336180130036,2.667001603252564,19.16448150153515,0.7563414640607391,3.1473196412340143,1019.8683184927156,78.15271149776433,0.8393876311208937,0.1772214982175093,0.0184367762301241,0.06476097287589,0,True,False,False,False,False,True,False,False,False,True,False,False,True,False
