Battery Capacity (kWh),Charging Duration (hours),Charging Rate (kW),Charging Cost (USD),State of Charge (Start %),State of Charge (End %),Distance Driven (since last charge) (km),Temperature (°C),Vehicle Age (years),Vehicle Model_bmw i3,Vehicle Model_chevy bolt,Vehicle Model_hyundai kona,Vehicle Model_nissan leaf,Vehicle Model_tesla model 3,Charging Station Location_chicago,Charging Station Location_houston,Charging Station Location_los angeles,Charging Station Location_new york,Charging Station Location_san francisco,Time of Day_afternoon,Time of Day_evening,Time of Day_morning,Time of Day_night,Day of Week_friday,Day of Week_monday,Day of Week_saturday,Day of Week_sunday,Day of Week_thursday,Day of Week_tuesday,Day of Week_wednesday,Charger Type_dc fast charger,Charger Type_level 1,Charger Type_level 2,User Type_casual driver,User Type_commuter,User Type_long-distance traveler
0.01616940386783992,-0.16877755345285267,0.9522700419804252,1.4621438902968162,0.017082539717578227,0.46400368867554037,-1.3536045575195699,-0.8778919129637609,-0.2346893091962467,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False
1.3194703557390448,1.2050414470799196,0.9281638643809185,-1.550220133267735,-1.5824030548388537,-0.3482969130135912,-1.4870091287412224,-0.06517260000930364,1.0557409946549854,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True
0.01616940386783992,-1.9726218689198127,-1.5013775678423276,-1.2543556867839574,0.7990761842627215,0.9884577327439977,-0.8966329682418983,0.5343621996962824,-0.664832743813324,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
0.2896019962976277,-0.5471642953778183,-1.4851514955340857,-1.4517884149465976,0.9200918155824059,-0.7478710635219298,0.5598732628679688,0.9348782358994208,1.4858844292720628,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
-0.6615470911051866,-1.2909190351612583,-0.847669809618416,-0.5272654182873644,-0.42713900685662454,-0.7687767935246171,0.8331471886737168,-0.8939865158536683,0.19545412542083065,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
-1.287131548003365,0.6346471503364399,-0.801871214240547,-1.2136079867483784,-0.6075093023130586,-0.838078979161055,-0.4676462193206751,-0.8881768046826368,0.19545412542083065,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False
1.8301103555641745,-0.8971586367504872,-0.0371085124713343,0.3549705264914256,-0.5147945060249397,-0.26339908860776684,-0.8406648838183365,1.3405151502252772,-0.664832743813324,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
1.3194703557390448,1.3921118084237976,-1.5580086516732485,-1.3250525814393248,-1.4002575284239673,0.5542715156338572,0.9758136148856433,-0.29997592405925805,-1.0949761784304013,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
-0.6615470911051866,0.2877594122138792,-0.0371085124713343,0.29407578767559667,1.78254767694612,0.6261637226809843,-1.5058165145222413,1.637101241307877,-0.2346893091962467,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
-0.7765431075846989,-0.5710999873848622,-0.3950587732285983,-1.0022865552449804,-0.28474756064083645,-0.7952000791648035,-1.3321371263169413,-1.3404084408989367,0.9204036274589095,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True
1.3194703557390448,-1.4385793630778922,-0.9672464441331523,-0.9224974304472408,0.29786545632929434,-0.2777381889129797,-1.7992224018290384,-0.034059289559375434,0.625597560037908,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
0.01616940386783992,0.812849891276578,-0.1441767254306731,-0.11144572041937029,-1.4172296027855467,-0.31505648012054494,1.2641398979412322,0.2681632032230722,0.625597560037908,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
-1.287131548003365,0.0480454105060154,-1.6114068313972056,-0.8460892833626139,-0.015501711416287792,0.0616995196775663,1.654342053473173,0.5533029184100985,-1.5251196130474787,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
-1.4676172776769214,0.833536042172015,-1.5574928255441947,-0.9636565458352602,-0.2919253194967327,1.4727585417167282,0.8064599109709601,-1.6003035390317797,0.19545412542083065,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False
1.3194703557390448,0.9066919843665907,-0.0371085124713343,1.1567533497240576,-0.9646382277690122,-0.3710331411555279,0.9834962186055235,-0.6231085279745052,-1.5251196130474787,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False
1.3194703557390448,-0.14068718196213692,-0.05740887446086527,1.3792109244358923,0.819496870625867,1.01547586437638,-0.5908735164870452,0.23680350570498965,0.9480060047161931,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True
